Strain (in/in)	Stress (psi)
0	680.4000838
1.54229E-06	722.631813
1.54229E-06	713.6735676
4.72637E-06	700.0229076
4.72637E-06	730.3103094
7.9602E-07	692.3444112
2.33831E-06	705.5684881
1.0199E-05	719.2191481
1.41294E-05	735.4293069
7.8607E-06	756.758463
5.47264E-06	737.5622226
1.49254E-05	740.1217212
8.60697E-06	745.2407187
1.33333E-05	722.20523
1.57214E-05	752.0660488
1.72637E-05	756.33188
2.0398E-05	758.4647956
1.57214E-05	772.5420386
2.1194E-05	767.4230411
2.199E-05	769.98254
2.43284E-05	753.3457981
2.199E-05	775.1015375
2.74627E-05	793.4446117
3.1398E-05	788.7521975
2.82587E-05	787.0458649
3.1398E-05	781.9268673
3.29701E-05	766.1432918
4.00348E-05	785.7661156
3.84627E-05	790.8851131
5.65174E-05	817.3332667
6.83085E-05	795.5775273
7.22388E-05	777.2344531
7.06468E-05	804.535773
7.61692E-05	773.3952049
9.02771E-05	813.9206018
9.57726E-05	818.186433
0.000102053	808.3750212
0.000103623	794.297778
0.000105979	822.8788475
0.000114614	787.0458649
0.000130315	829.2775943
0.000143661	839.0890061
0.000151511	820.7459319
0.000157792	819.8927656
0.000147587	811.7876862
0.000155437	815.6269344
0.000177418	834.3965918
0.000198615	835.2497581
0.000192334	842.5016713
0.000193904	828.851011
0.000198615	809.2281875
0.000212746	842.9282543
0.000226092	833.5434255
0.000233158	868.5232419
0.000244148	832.6902592
0.000251214	831.8370929
0.000255139	841.648505
0.000259849	844.2080036
0.00027241	860.4181624
0.000283401	855.7257479
0.000276335	830.9839266
0.000279476	857.8586635
0.000283401	838.2358398
0.000301457	859.9915792
0.000308523	891.5587306
0.000328149	853.5928323
0.000330504	864.6839937
0.000328149	848.9004181
0.000333645	845.0611699
0.000370542	893.2650629
0.000375253	862.551078
0.000370542	873.6422391
0.000373683	852.739666
0.000377608	856.1523312
0.000389384	891.1321473
0.000402729	875.3485717
0.00040901	882.6004848
0.000408225	869.3764079
0.000419216	854.0194156
0.000420786	883.8802341
0.000440412	882.1739018
0.000452188	868.5232419
0.000450618	884.3068174
0.000446693	854.0194156
0.00047574	875.775155
0.000468674	884.7334004
0.000482805	884.3068174
0.00047574	892.4118969
0.00047574	863.8308274
0.00048202	893.6916462
0.000503217	900.516976
0.000506357	885.5865667
0.000508712	900.9435593
0.000514207	864.6839937
0.000514993	913.741053
0.000525984	918.8600505
0.000528338	888.1460654
0.000529123	905.2093905
0.000528338	857.4320805
0.000531479	918.4334675
0.00054247	920.9929661
0.00054718	886.439733
0.000558171	908.6220554
0.000583293	883.8802341
0.00061705	939.7626236
0.000628041	929.9512118
0.000628041	909.0486384
0.000639031	915.4473855
0.000650807	900.516976
0.000665723	936.7765416
0.000669649	925.6853803
0.000672789	922.6992987
0.000675144	920.5663831
0.000704191	931.6575441
0.000712827	953.4132835
0.000723817	947.867703
0.000726958	918.4334675
0.000733238	930.8043778
0.000748939	964.5044448
0.000760715	935.070209
0.000785052	992.2323478
0.000781126	936.3499586
0.000818809	958.958864
0.000823519	993.5120974
0.000839221	960.6651966
0.000844716	975.5956059
0.000876903	944.0284548
0.000885539	992.2323478
0.00090124	976.4487722
0.000916156	981.994353
0.000926362	944.4550381
0.000971895	1024.652665
0.000993877	981.994353
0.001006438	1014.41467
0.001015073	983.2741023
0.001049616	995.645013
0.001060606	1022.946333
0.001081803	987.1133505
0.001098289	1007.162757
0.001125766	992.2323478
0.001157953	1045.981822
0.0011713	1001.190593
0.001197206	1032.757745
0.001208982	989.2462661
