Strain	Stress
0	975.0966744
0	947.2544472
8.0402E-07	971.3843776
8.0402E-07	969.5282288
8.0402E-07	953.4416088
3.96985E-06	991.8020108
2.36181E-06	1007.269915
4.77387E-06	1019.644238
9.50754E-06	1049.342614
7.92462E-06	1033.87471
7.92462E-06	1054.292343
1.10955E-05	1044.392885
4.77387E-06	1037.587007
9.50754E-06	1098.221191
1.18894E-05	1079.659706
1.42663E-05	1108.12065
1.50603E-05	1092.034029
1.90452E-05	1088.940448
2.29648E-05	1097.602475
2.0603E-05	1067.904099
1.90452E-05	1118.638824
2.37688E-05	1163.805104
2.29648E-05	1128.538283
2.45729E-05	1121.113689
2.69347E-05	1138.437742
2.53769E-05	1107.501934
3.09045E-05	1158.855375
3.72864E-05	1167.517401
3.17085E-05	1175.560712
3.33166E-05	1179.273008
3.48744E-05	1147.099768
3.40704E-05	1160.092808
3.56784E-05	1175.560712
4.04523E-05	1192.266048
4.04523E-05	1233.720031
4.36181E-05	1192.884764
4.1206E-05	1209.5901
4.36181E-05	1203.402939
4.20101E-05	1166.898685
4.36181E-05	1229.389018
5.23116E-05	1241.763341
6.10503E-05	1238.66976
6.73935E-05	1244.856922
8.00809E-05	1206.49652
8.08739E-05	1229.389018
8.48382E-05	1270.843001
8.24598E-05	1257.231245
9.19749E-05	1270.224285
8.8803E-05	1247.331786
9.75256E-05	1234.338747
0.000102283	1243.61949
9.51467E-05	1269.605568
0.000103869	1298.685228
0.000111006	1271.461717
0.000118935	1288.167053
0.000123693	1293.735499
0.000124486	1260.324826
0.000131622	1342.614076
0.000146688	1314.771848
0.000153825	1301.160093
0.000156204	1307.965971
0.000153032	1262.799691
0.000153032	1340.757927
0.000156996	1361.175561
0.000187922	1343.851508
0.000179992	1343.232792
0.000180785	1312.296984
0.000183957	1330.239752
0.000195058	1377.880897
0.000216467	1347.563805
0.00022519	1324.052591
0.000233119	1356.844548
0.000234705	1345.08894
0.000236291	1406.960557
0.000261665	1382.830626
0.000271974	1370.456303
0.000279903	1363.031709
0.000283075	1375.406032
0.000284661	1418.097448
0.000307656	1408.816705
0.000317964	1386.542924
0.000323515	1402.629544
0.000329066	1374.1686
0.000336203	1423.047177
0.000356026	1431.090487
0.000356026	1390.873936
0.000362369	1402.629544
0.000365541	1384.068059
0.000365541	1428.615622
0.000376643	1463.882444
0.000398845	1417.478732
0.000405981	1440.989946
0.000398052	1424.28461
0.000409946	1446.558391
0.000434528	1509.66744
0.000438492	1422.428461
0.000440078	1440.989946
0.000447215	1423.047177
0.000444043	1452.126837
0.000458316	1470.688322
0.000471003	1436.658933
0.000468624	1424.903326
0.000469417	1468.832173
0.000485276	1464.50116
0.000513822	1493.58082
0.000520959	1449.651972
0.000525717	1463.882444
0.000528095	1498.530549
0.000543954	1500.386698
0.000566157	1481.825213
0.000566157	1461.407579
0.000563778	1447.795824
0.000581223	1526.991493
0.000596288	1511.523588
0.000603425	1503.480278
0.000601046	1473.781902
0.00061294	1478.112916
0.000645451	1530.70379
0.000666068	1520.804331
0.000678755	1470.069606
0.000675583	1513.998453
0.000695407	1542.459397
0.000735847	1508.430008
0.000756464	1516.473318
0.000765979	1545.552978
0.000775494	1569.064192
0.000839723	1606.805878
0.000862719	1515.854602
0.000861926	1591.337974
0.000873027	1539.984532
0.000929326	1645.784996
0.000965009	1574.013921
0.000970559	1538.7471
0.000986418	1579.582366
0.001003863	1596.287703
0.001048268	1635.885538
0.001072849	1565.970611
0.001086329	1576.488786
0.001095845	1579.582366
0.001122805	1632.17324
0.001162452	1575.251354
0.001175139	1606.187162
0.001191791	1575.251354
0.001202892	1634.648105
0.001236989	1669.29621
0.001259984	1585.769528
0.001271878	1621.655066
0.001286152	1626.604795
0.001313112	1695.901006
0.001352759	1629.07966
0.001363067	1592.575406
0.001393199	1650.734726
0.001413023	1650.734726
0.001445534	1721.268368
0.001477252	1632.791957
0.001472494	1647.022428
0.001484388	1681.051818
0.001512141	1750.966744
0.001547824	1656.921887
0.001573198	1663.109049
0.001593815	1665.583913
0.001598572	1696.519722
0.001659629	1739.211137
0.001682625	1660.634184
0.001687382	1736.117556
0.001716721	1726.836814
0.001750025	1793.039443
0.001814254	1716.937355
0.001822976	1678.576953
0.001842799	1742.304718
0.001875311	1772.62181
0.001948261	1767.053364
0.001964121	1729.930394
0.002007733	1724.361949
0.002019627	1773.859242
0.002063239	1811.600928
0.002106851	1777.571539
0.002113987	1745.398298
0.002120331	1755.297757
0.002153635	1804.79505
0.002200418	1851.817479
0.002239273	1774.477958
0.002249581	1768.909513
0.002269405	1796.133024
0.002317774	1849.342614
0.002366144	1831.399845
0.002378038	1779.427688
0.002389932	1866.04795
0.002415307	1848.105182
0.002481121	1917.401392
0.002507288	1836.968291
0.002509667	1812.219644
0.002524733	1888.321732
0.002554072	1891.415313
0.002604028	1893.271462
0.002628609	1867.285383
0.002630195	1859.860789
0.002679358	1927.919567
0.002707111	1903.17092
0.002734071	1899.458623
0.002747551	1905.027069
0.002748344	1929.156999
0.002784027	1956.38051
0.002803057	1996.597061
0.002830811	1914.926528
0.002841119	1903.17092
0.002863321	1949.574633
0.002891074	1981.747873
0.002914863	1974.941995
0.002935479	1921.732405
0.002945787	2013.302398
0.002982263	1985.46017
0.00302984	2052.900232
0.003056007	2001.54679
0.003059972	1962.567672
0.003094861	2049.806651
0.003128165	2066.511988
0.003164641	2038.051044
0.003180499	2004.021655
0.003209839	2039.288476
0.003243142	2080.123743
0.003276446	2104.87239
0.003299441	2033.720031
0.003307371	2078.886311
0.003331952	2101.160093
0.003358913	2111.059552
0.003410454	2122.815158
0.003420762	2061.562258
0.003431863	2143.232792
0.003476268	2129.00232
0.003509572	2178.499613
0.003550806	2119.721578
0.003570629	2075.79273
0.003601554	2174.787316
0.003637236	2143.851508
0.003681641	2196.442382
0.003697501	2137.04563
0.003706223	2194.586234
0.003747456	2199.535963
0.003768865	2221.191029
0.003806134	2171.693736
0.003819614	2162.412993
0.003840231	2242.227378
0.003886222	2235.4215
0.00392349	2240.989946
0.003958379	2161.794277
0.003965516	2255.220418
0.004019436	2242.846094
0.004073357	2232.946636
0.00411459	2252.745553
0.004145515	2206.341841
0.004158202	2296.674401
0.004199435	2261.407579
0.004235911	2278.731632
0.004267629	2253.364269
0.004286659	2209.435422
0.00429221	2319.566899
0.004318377	2255.839134
0.004346923	2308.430008
0.00436754	2269.45089
0.004375469	2252.745553
0.004396879	2322.66048
0.004430182	2288.63109
0.004457936	2323.279196
0.004471416	2296.055684
0.004493618	2339.365816
0.004545952	2324.516628
0.004565776	2390.100541
0.004582428	2298.530549
0.004598287	2326.372776
0.004616525	2404.331013
0.004664102	2338.128384
0.00469344	2425.367363
0.004723572	2336.890951
0.004754497	2418.561485
0.004787801	2409.280742
0.004806832	2436.504254
0.004837757	2387.00696
0.004842514	2421.655066
0.004874232	2400.618716
0.004912293	2412.374323
0.004942426	2434.029389
0.004951148	2403.093581
0.004967007	2469.29621
0.004991588	2442.691415
0.005016169	2505.181748
0.005041544	2450.734726
0.005058195	2434.029389
0.005086742	2546.635731
0.005115288	2441.453983
0.005148591	2549.110596
0.00517238	2452.590874
0.005185067	2553.441609
0.005231058	2555.297757
0.005250088	2524.980665
0.005284978	2535.49884
0.005295286	2511.36891
0.005317489	2602.938902
0.005335727	2565.197216
0.005349999	2596.133024
0.005369823	2515.081206
0.005380925	2576.334107
0.005406299	2591.183295
0.005430087	2571.384378
0.005489558	2590.564578
0.005510175	2561.484919
0.005526827	2678.422274
0.005559338	2588.089714
0.005572025	2669.760248
0.00558154	2610.982212
0.005593434	2608.507347
0.005632288	2732.25058
0.005644975	2617.78809
0.005638632	2718.020108
0.005658456	2647.486466
0.005679072	2721.113689
0.005725063	2700.07734
0.005754402	2747.718484
0.005778983	2695.12761
0.005798014	2735.962877
0.005866208	2787.316319
0.005901097	2729.156999
0.005922507	2760.092808
0.005949467	2713.070379
0.005978806	2877.030162
0.006030347	2753.905646
0.006069202	2807.733952
0.006097748	2761.948956
0.006102506	2773.704563
0.006169906	2863.418407
0.006216689	2766.898685
0.006233342	2838.051044
0.006230963	2762.567672
0.006257923	2793.50348
0.006295191	2873.936582
0.00629202	2788.553751
0.00631105	2854.75638
0.006336425	2836.194896
0.00636497	2835.57618
0.006376072	2827.532869
0.006387966	2839.907192
0.006412547	2836.813612
0.006433164	2880.742459
0.006479948	2960.556844
0.006492635	2885.692189
0.006516423	2925.908739
0.006535454	2869.605568
0.006552899	2984.686775
0.006598096	2902.397525
0.006614749	2951.276102
0.006629815	2955.607115
0.006667083	2982.830626
0.00667977	3024.903326
0.006703558	2965.506574
0.006723382	3036.040216
0.006754307	3042.846094
0.006762237	2978.499613
0.006786025	3003.24826
0.006791575	3071.307038
0.006827258	3101.62413
0.006855804	3042.227378
0.006879592	3110.904872
0.006893865	3041.608662
0.006917654	3171.539056
0.006970781	3110.286156
0.006988226	3139.984532
0.007019151	3094.818252
0.007039767	3134.416087
0.0071373	3197.525135
0.007161088	3105.336427
0.007197564	3199.381284
0.007226903	3133.178654
0.007263378	3217.942769
0.007322849	3178.96365
0.007343466	3150.502707
0.007375977	3183.91338
0.007412452	3211.755607
0.007451307	3203.712297
0.007483025	3193.812838
0.007486989	3132.559938
0.007525843	3165.351895
0.007555182	3240.216551
0.007609103	3230.317092
0.007643992	3185.769528
0.007657472	3245.16628
0.007693155	3201.237432
0.007700291	3288.476412
0.007744696	3259.396752
0.00777245	3195.668987
0.007811304	3260.634184
0.007827163	3302.088167
0.007877912	3302.706883
0.007896942	3280.433101
0.007919938	3295.282289
0.007938175	3302.088167
0.007951655	3329.930394
0.008030157	3324.361949
0.008057117	3294.044857
0.008082491	3311.987626
0.008093593	3364.5785
0.008129275	3422.737819
0.008159408	3315.081206
0.008175266	3360.866203
0.008203812	3345.398298
0.008237909	3391.802011
0.008260905	3422.119103
0.008283107	3342.923434
0.008296587	3435.730858
0.00834575	3396.133024
0.008383018	3423.975251
0.008400463	3452.436195
0.008416322	3361.484919
0.008429802	3476.566125
0.008454383	3471.616396
0.008470242	3438.824439
0.00850196	3443.774168
0.008514647	3393.658159
0.008532885	3460.479505
0.00856381	3496.983759
0.008602664	3532.25058
0.00861773	3461.716937
0.008628831	3515.545244
0.00865817	3500.696056
0.00872002	3564.42382
0.008749359	3514.307811
0.008756495	3505.027069
0.008778698	3536.581593
0.008824689	3550.812065
0.008865129	3602.784223
0.008864336	3518.020108
0.008874645	3575.560712
0.008893675	3600.309358
0.008917464	3584.841454
0.008942838	3552.049497
0.008956318	3548.955916
0.008981692	3578.654292
0.009007066	3651.044084
0.009030855	3646.71307
0.009045128	3562.567672
0.009058608	3689.404486
0.009089533	3660.943542
0.009122837	3686.929621
0.009144246	3692.498066
0.009155347	3629.389018
0.00917755	3704.253674
0.009193409	3720.340294
0.009216405	3746.945089
0.009246536	3681.361176
0.009256845	3691.260634
0.009290941	3766.12529
0.009311558	3746.945089
0.009338518	3787.780356
0.009356756	3726.527456
0.009366271	3764.887858
0.009399575	3813.766435
0.009436843	3842.227378
0.009470147	3754.369683
0.009479662	3813.766435
0.009523274	3819.953596
0.009565301	3856.45785
0.009602569	3867.594741
0.009638252	3780.974478
0.009657282	3904.717711
0.009697723	3863.882444
0.009802391	3891.105955
0.009836488	3842.846094
0.009843625	3882.443929
0.009882479	3915.854602
0.009918161	3928.228925
0.009942743	3907.811292
0.009950672	3865.738592
0.009961773	3891.105955
0.009984769	3916.473318
0.010015694	3892.962104
0.010026795	3874.400619
0.010041861	3861.407579
0.010055341	3948.027842
0.010091817	3957.308585
0.010106089	3981.438515
0.010125121	3910.286156
0.010135429	4005.568444
0.010196485	4029.698376
0.010226618	3972.776489
0.010255163	4038.97912
0.010266265	3952.977572
0.010295604	4074.24594
0.010343973	4065.583912
0.010396308	4043.928848
0.01042644	4014.230472
0.010435162	3983.91338
0.010479567	4085.382832
0.010517629	4085.382832
0.010527937	4033.410672
0.010537452	4004.331012
0.010550932	4118.174788
0.010584236	4090.33256
0.010625469	4087.23898
0.010632606	4079.195668
0.010637363	4034.648104
0.010665117	4178.808972
0.010700799	4126.218096
0.010730138	4145.3983
0.010752341	4090.33256
0.010774543	4158.391336
0.010816569	4220.262956
0.010839565	4146.017016
0.010863353	4232.637276
0.010874454	4136.736272
0.010883177	4251.81748
0.010915687	4258.00464
0.010931546	4183.7587
0.010944234	4185.614848
0.010949784	4160.247488
0.01097833	4267.285384
0.011014806	4258.623356
0.011025114	4246.867748
0.011039387	4204.176336
0.011052867	4348.955916
0.011116303	4293.27146
0.01112106	4288.321732
0.01113692	4287.0843
0.011175774	4254.91106
0.011201148	4410.208816
0.011227315	4316.16396
0.011264584	4403.40294
0.01129313	4304.408352
0.011321676	4387.935036
0.011358944	4427.532868
0.011397006	4328.538284
0.011402556	4413.302396
0.011409693	4322.35112
0.011441411	4474.555296
0.011501674	4440.525908
0.011527842	4434.957464
0.011546872	4386.078888
0.01156511	4465.274556
0.01162141	4504.872388
0.011670572	4446.094356
0.01169436	4473.317864
0.011722114	4425.058004
0.011776034	4559.938128
0.011810131	4493.116784
0.011832333	4506.109824
0.011858501	4467.130704
0.011900527	4577.880896
0.011964755	4535.808196
0.011991715	4489.404484
0.012005195	4514.153132
0.01202264	4479.505028
0.012051979	4613.766436
0.012113829	4505.491104
0.012137617	4522.196444
0.01215982	4502.397524
0.012167749	4514.153132
0.012212947	4632.946636
0.012239115	4548.18252
0.012255766	4607.579272
0.012272418	4522.196444
0.012279555	4676.875484
0.012369157	4632.946636
0.012388981	4566.744008
0.012399289	4629.23434
0.012423078	4558.700696
0.012454795	4738.128384
0.012515852	4639.752512
0.012526954	4598.917248
0.012549156	4623.047176
0.012554707	4606.34184
0.012620522	4732.55994
0.012651446	4671.307036
0.012668098	4629.853056
0.012677614	4602.010828
0.012687922	4749.883992
0.012756908	4709.048724
0.012775939	4683.062644
0.012794176	4696.055684
0.01280845	4682.443928
0.012863163	4835.26682
0.012898052	4744.315544
0.012921048	4791.956688
0.012967039	4702.242848
0.012988448	4790.10054
0.013057435	4851.35344
0.013082016	4739.984532
0.013088359	4813.611756
0.01310739	4711.523588
0.013129592	4823.511216
0.013184306	4823.511216
0.013212852	4746.171692
0.013224746	4765.970612
0.013232676	4738.7471
0.013254878	4841.453984
0.01329849	4832.791956
0.013300869	4777.1075
0.013309591	4782.057232
0.013316728	4790.10054
0.013361133	4915.699924
0.013385714	4821.655064
0.013390472	4787.625676
0.013405538	4826.604796
0.01340871	4850.116008
0.013450736	4921.887084
0.013469766	4877.33952
0.013472145	4885.382832
0.013480868	4836.504252
0.013505449	5023.356536
0.013527652	4905.181748
0.013541925	4896.51972
0.013564127	4926.836812
0.013569678	4916.31864
0.013614083	5052.436196
0.013649765	4913.843776
0.013662452	4971.384376
0.013679104	4924.980664
0.013695756	5024.593968
0.013748883	4971.384376
0.013766328	5001.082752
0.013773465	4958.391336
0.013792495	5061.716936
0.013837693	5068.522816
0.013865447	5002.320184
0.013878927	5089.559164
0.013894785	5027.687548
0.013939983	5227.532868
0.013982803	5075.328692
0.013985181	5052.436196
0.014015314	5076.566124
0.014025622	5127.919568
0.014101744	5186.078888
0.014135841	5120.494972
0.014146149	5113.07038
0.014164387	5108.120648
0.014196105	5202.784224
0.01424051	5186.697604
0.014250025	5131.013148
0.014258748	5153.905644
0.014275399	5182.985304
0.014310289	5289.404484
0.014346765	5162.567672
0.014361831	5139.675176
0.014372139	5156.999228
0.014387998	5212.68368
0.01444509	5251.6628
0.01447205	5181.747872
0.014483944	5276.411448
0.014506147	5208.352668
0.0145339	5301.160092
0.014575926	5273.93658
0.014593371	5218.870844
0.014594164	5271.461716
0.014617952	5269.605568
0.014656014	5380.974476
0.014683767	5252.900232
0.014696454	5311.678268
0.014710727	5282.598608
0.01476544	5434.802784
0.014798744	5303.634956
0.014803502	5305.491104
0.014836806	5342.614076
0.014861387	5398.917248
0.014912928	5431.090488
0.014947025	5369.218872
0.014954954	5332.0959
0.01496447	5395.823664
0.014992223	5466.357308
0.015039007	5440.371228
0.015051694	5377.26218
0.015063588	5389.017788
0.015088962	5438.51508
0.015148433	5509.048724
0.015192045	5429.853056
0.015186494	5397.0611
0.015224556	5440.989944
0.015230899	5517.710752
0.01527689	5510.286156
0.015292749	5449.033256
0.015315745	5548.64656
0.015341912	5504.717712
0.015379973	5623.511216
0.015413277	5524.516628
0.015425171	5507.192576
0.015434686	5551.74014
0.015460854	5567.82676
0.015490193	5641.453984
0.015517946	5523.279196
0.015518739	5542.459396
0.015579003	5606.18716
0.015633716	5689.095128
0.015664641	5551.74014
0.015670191	5626.604796
0.015716182	5628.460944
0.015747108	5693.42614
0.015797063	5713.843776
0.015822437	5605.568444
0.015831953	5716.937356
0.01585812	5700.850736
0.015893803	5748.49188
0.015919176	5696.51972
0.015939793	5640.835268
0.015953273	5666.202628
0.015963581	5722.5058
0.016019881	5750.348028
0.016037326	5669.914928
0.01605477	5644.547564
0.016064286	5719.41222
0.016102347	5742.304716
0.016169748	5751.58546
0.016195122	5734.261408
0.016203051	5758.391336
0.016234769	5776.334108
0.016283139	5845.630316
0.016326751	5760.247488
0.016347367	5757.153904
0.01635609	5822.119104
0.01640446	5836.349576
0.01643142	5897.602476
0.016475032	5778.808972
0.016476618	5780.66512
0.016496441	5861.716936
0.016527366	5855.529776
0.016557498	5900.07734
0.016569392	5807.269916
0.016580493	5870.378964
0.016623313	5924.825988
0.016653445	5940.912608
0.016695471	5911.214232
0.016710537	5842.536736
0.016728774	5985.460172
0.016761285	5963.186388
0.016797761	6010.827532
0.016823135	5912.451664
0.016830271	5906.883216
0.016864368	5991.647332
0.016887364	5982.985304
0.016914324	5997.215776
0.016932562	5961.948956
0.016945249	5992.884764
0.016995997	6013.302396
0.017041195	6102.397524
0.017057847	5986.078888
0.017060226	5976.798144
0.017119697	6088.167052
0.017141899	6091.879352
0.017159344	6041.144624
0.017171238	6025.67672
0.017186305	6089.404484
0.017228331	6101.160092
0.017244189	6116.627996
0.017294938	6017.633412
0.017294938	6038.66976
0.017345686	6138.90178
0.017374233	6114.153132
0.01744084	6172.312452
0.017466214	6085.692188
0.017505068	6250.889404
0.017577227	6187.780356
0.017630354	6206.960556
0.017658107	6176.024748
0.017677931	6116.627996
0.017700926	6249.651972
0.01775564	6181.593196
0.017787357	6148.801236
0.017820661	6169.218872
0.01785793	6111.059552
0.017867445	6190.873936
0.017892026	6190.25522
0.017902335	6114.771848
0.017945947	6172.312452
0.017950704	6114.771848
0.017970528	6214.385152
0.017999074	6190.25522
0.018029206	6229.23434
0.018045065	6168.600156
0.018043479	6176.643464
0.018078368	6293.58082
0.018113258	6229.23434
0.018148941	6299.76798
0.018166385	6234.184068
0.018180658	6301.624128
0.018214755	6296.055684
0.018238544	6296.055684
0.018270261	6265.738592
0.018279777	6282.443928
0.018295636	6391.337972
0.018318631	6293.58082
0.018339248	6389.481824
0.018359071	6304.098996
0.018367794	6331.322504
0.018395547	6391.337972
0.018410613	6416.705336
0.018434401	6348.027844
0.01843678	6360.402164
0.018455018	6489.713844
0.018489115	6435.885536
0.018505766	6477.958236
0.018522418	6386.388244
0.018540656	6454.447024
0.018576339	6465.583912
0.018585061	6477.958236
0.018630259	6506.41918
0.018646118	6421.655064
0.018675457	6649.342616
0.018731756	6504.563032
0.018753165	6550.348028
0.018776161	6497.757152
0.018783297	6486.620264
0.018817394	6646.249032
0.018862592	6518.793504
0.018890345	6625.212684
0.018929992	6528.074244
0.018945058	6524.361948
0.019009287	6595.514308
0.019032282	6539.829852
0.019055278	6583.139984
0.019069551	6552.204176
0.019074309	6591.183296
0.019101269	6614.694508
0.019114749	6545.3983
0.01912585	6611.600928
0.019138537	6568.290796
0.01916074	6643.155452
0.019188493	6549.110596
0.019218625	6594.895592
0.019260651	6682.134572
0.019274131	6722.969836
0.019298713	6699.458624
0.019306642	6679.040988
0.019360562	6763.805104
0.019379593	6726.682136
0.019413689	6792.884764
0.019443822	6700.07734
0.019479504	6930.239752
0.019519151	6804.021656
0.019525495	6810.827532
0.019544526	6799.69064
0.019551662	6807.733952
0.019587345	6945.707656
0.019638093	6769.992268
0.01963175	6877.030164
0.019641265	6781.747872
0.019653159	6857.84996
0.019697564	6935.808196
0.019729282	6802.784224
0.019753863	6887.548336
0.019765758	6857.231244
0.019793511	7001.392112
0.019841087	6887.548336
0.019849017	6934.570764
0.01987122	6919.721576
0.01989025	6907.965972
0.019951307	6989.017788
0.01996558	6920.959012
0.019984611	6999.535964
0.020008399	6905.491104
0.020025844	7012.529004
0.020063112	7001.392112
0.02008135	6967.98144
0.020100381	6995.204948
0.020111482	7008.197988
0.0201432	7130.085072
0.020182054	6971.07502
0.020198706	7118.329468
0.020227252	7019.33488
0.020262935	7043.464812
0.020306547	7180.201084
0.020327956	7035.4215
0.02034778	7108.430008
0.020371568	7075.019336
0.020394564	7192.575408
0.020424695	7126.991492
0.020442141	7058.932716
0.020468308	7133.797372
0.020492889	7180.8198
0.020527778	7242.0727
0.020550774	7141.221964
0.02056584	7218.561484
0.020595972	7129.466356
0.020615795	7228.460944
0.020660201	7247.641144
0.020675266	7176.488784
0.020696676	7218.561484
0.020717293	7225.367364
0.020748218	7361.48492
0.020784693	7214.230472
